iso_code,continent,location,date,population,new_cases,new_deaths,total_cases,total_deaths,new_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_cases_per_million,new_deaths_per_million,new_vaccinations_per_million,new_cases_ra7,new_deaths_ra7,new_vaccinations_ra7,new_cases_per_million_ra7,new_deaths_per_million_ra7,new_vaccinations_per_million_ra7
ITA,Europe,Italy,2021-05-12,59037472.0,6943.0,251.0,4123230.0,123282.0,486292.0,18051802.0,8012240.0,,117.6032740697298,4.251537057684312,8237.005812172987,9058.42857142857,220.57142857142856,479590.28571428574,153.43523807097586,3.736125906126681,8123.48953075575
ITA,Europe,Italy,2021-05-13,59037472.0,7848.0,262.0,4131078.0,123544.0,530771.0,18398421.0,8204674.0,,132.9325212299063,4.437859398857729,8990.408667905022,8668.285714285714,219.8571428571429,480733.7142857143,146.82684438598108,3.724027052803732,8142.857375155126
ITA,Europe,Italy,2021-05-14,59037472.0,8082.0,201.0,4139160.0,123745.0,556831.0,18751696.0,8416413.0,,136.89610557850443,3.404617325077876,9431.823232539497,8137.428571428572,211.7142857142857,482139.7142857143,137.8349765963653,3.5861001249221123,8166.672758036018
ITA,Europe,Italy,2021-05-15,59037472.0,7562.0,182.0,4146722.0,123927.0,546205.0,19115793.0,8616492.0,,128.0881403593975,3.08278782668743,9251.835850965976,7710.714285714285,208.14285714285717,486584.7142857143,130.6071216212355,3.5256058583073666,8241.963922264733
ITA,Europe,Italy,2021-05-16,59037472.0,6652.0,136.0,4153374.0,124063.0,410677.0,19389289.0,8769936.0,,112.67420122596036,2.303621672689508,6956.2091005522725,7207.571428571428,195.57142857142856,490323.7142857143,122.08468934055016,3.312666039823463,8305.296579869042
ITA,Europe,Italy,2021-05-17,59037472.0,5748.0,93.0,4159122.0,124156.0,468578.0,19663100.0,8982713.0,,97.36189246043595,1.5752707026479724,7936.959089305179,6844.571428571428,189.0,494039.4285714286,115.93605208182744,3.201356589252331,8368.234814855023
ITA,Europe,Italy,2021-05-18,59037472.0,3454.0,140.0,4162576.0,124296.0,471095.0,19945921.0,9189207.0,,58.505215128452654,2.371375251298023,7979.593028644586,6612.714285714285,180.7142857142857,495778.4285714286,112.00876429319815,3.0610098907061216,8397.690683155073
ITA,Europe,Italy,2021-05-19,59037472.0,4449.0,201.0,4167025.0,124497.0,488783.0,20253396.0,9388980.0,,75.35891780732075,3.404617325077876,8279.19935325144,6256.428571428572,173.57142857142858,496134.28571428574,105.97385625571113,2.9400213574766307,8403.718331880567
ITA,Europe,Italy,2021-05-20,59037472.0,5500.0,149.0,4172525.0,124646.0,555433.0,20566004.0,9651895.0,,93.16117058670804,2.523820803167182,9408.14335681582,5921.0,157.42857142857142,499657.4285714286,100.29223473525424,2.666587272377981,8463.394716010682
ITA,Europe,Italy,2021-05-21,59037472.0,5736.0,164.0,4178261.0,124810.0,573362.0,20895821.0,9914145.0,,97.15863172461044,2.7778967229491127,9711.831834533836,5585.857142857143,152.14285714285714,502019.0,94.61545275612652,2.5770557577881577,8503.395944867016
ITA,Europe,Italy,2021-05-22,59037472.0,5215.0,218.0,4183476.0,125028.0,523779.0,21219299.0,10152832.0,,88.33372811085135,3.692570034164064,8871.975412497337,5250.571428571428,157.28571428571428,498815.28571428574,88.93625100633423,2.6641675017133912,8449.130167942925
ITA,Europe,Italy,2021-05-23,59037472.0,4714.0,125.0,4188190.0,125153.0,408312.0,21471376.0,10345071.0,,79.84759239013486,2.117299331516092,6916.149797199989,4973.714285714285,155.71428571428572,498477.4285714286,84.24673545835915,2.637550024402903,8443.40741032117
ITA,Europe,Italy,2021-05-24,59037472.0,3993.0,72.0,4192183.0,125225.0,465680.0,21747270.0,10567385.0,,67.63500984595004,1.219564414953269,7887.87162160331,4723.0,152.71428571428572,498063.4285714286,80.00003794200403,2.5867348404465167,8436.394914935188
