published_utc,title,url,source,lang,company,ticker,event_type,confidence
20260101T021500Z,"Warren Buffett Retires as Berkshire Hathaway CEO at 95 , Abel Succeeds Him",https://www.webpronews.com/warren-buffett-retires-as-berkshire-hathaway-ceo-at-95-abel-succeeds-him/,,English,Apple Inc,AAPL,unknown,0.9
20251231T223000Z,FinancialContent - The Great Divergence : How 2025 Antitrust Rulings Redefined the Magnificent Seven,https://markets.financialcontent.com/stocks/article/marketminute-2025-12-31-the-great-divergence-how-2025s-antitrust-rulings-redefined-the-magnificent-seven,,English,Apple Inc,AAPL,unknown,0.9
20251231T181500Z,Is Apple Slow ? New AI Projects From A Tech Giant,https://www.forbes.com/sites/johnwerner/2025/12/31/is-apple-slow-new-ai-projects-from-a-tech-giant/,,English,Apple Inc,AAPL,unknown,0.9
20251230T031500Z,"Apple Crease - Free Foldable iPhone : 2026 Launch , $1 , 800 Price",https://www.webpronews.com/apples-crease-free-foldable-iphone-2026-launch-1800-price/,,English,Apple Inc,AAPL,unknown,0.9
20251230T000000Z,"Apple $30M Detroit Developer Academy Faces Scrutiny on Costs , Outcomes",https://www.webpronews.com/apples-30m-detroit-developer-academy-faces-scrutiny-on-costs-outcomes/,,English,Apple Inc,AAPL,unknown,0.9
20251229T160000Z,Samsung Unveils World First 6K Glasses - Free 3D Odyssey Monitor for CES 2026,https://www.webpronews.com/samsung-unveils-worlds-first-6k-glasses-free-3d-odyssey-monitor-for-ces-2026/,,English,Apple Inc,AAPL,unknown,0.9
20251229T071500Z,"Canadian Reviewer - Reviews , News and Opinion with a Canadian Perspective",https://www.canadianreviewer.com/cr/?currentPage=4862,,English,Apple Inc,AAPL,unknown,0.9
20251228T210000Z,Apple Smart Ring Rumored for 2026 : Discreet Health Tracking and Gesture Controls,https://www.webpronews.com/apple-smart-ring-rumored-for-2026-discreet-health-tracking-and-gesture-controls/,,English,Apple Inc,AAPL,unknown,0.9
20251228T193000Z,Canadians getting settlement money from $14 . 4M iPhone class action in 2026,https://dailyhive.com/canada/iphone-settlement-class-action,,English,Apple Inc,AAPL,unknown,0.9
20251226T193000Z,Apple Foldable iPhone Faces Delays to 2026 Amid Tech Hurdles,https://www.webpronews.com/apple-foldable-iphone-faces-delays-to-2026-amid-tech-hurdles/,,English,Apple Inc,AAPL,unknown,0.9
20251226T164500Z,"Trump $100 , 000 H - 1B Visa Application Fee Upheld by Judge",https://www.cpapracticeadvisor.com/2025/12/26/trumps-100000-h-1b-visa-application-fee-upheld-by-judge/175509/,,English,Apple Inc,AAPL,unknown,0.9
20251226T160000Z,"Silver surge breaks internet : Al Pacino ,  Scarface  memes flood social media as white metal prices zoom 150 % in a year",https://www.livemint.com/news/trends/silver-surge-breaks-internet-al-pacino-scarface-memes-flood-social-media-as-white-metal-prices-zoom-150-in-a-year-11766753353377.html,,English,Apple Inc,AAPL,unknown,0.9
20251231T223000Z,"FinancialContent - Resilient Rally : S & P 500 Caps 2025 with 16 % Gain , Marking Historic Three - Year Winning Streak",https://markets.financialcontent.com/stocks/article/marketminute-2025-12-31-resilient-rally-s-and-p-500-caps-2025-with-16-gain-marking-historic-three-year-winning-streak,,English,Microsoft Corporation,MSFT,unknown,0.9
20251231T121500Z,Francesca Albanese and the Lonely Road of Defiance,https://countercurrents.org/2025/12/francesca-albanese-and-the-lonely-road-of-defiance/,,English,Microsoft Corporation,MSFT,unknown,0.9
20251230T074500Z,Chris Hedges : Profiting From Genocide,https://nuclear-news.net/2025/12/30/3-b1-chris-hedges-profiting-from-genocide/,,English,Microsoft Corporation,MSFT,unknown,0.9
20260102T034500Z,Critical Materials : A Strategic Analysis,https://www.greanvillepost.com/2026/01/01/critical-materials-a-strategic-analysis/,,English,Tesla,TSLA,unknown,0.9
20260102T030000Z,Family blame Tesla  Autosteer  feature for veering car into path of oncoming truck after four relatives killed : lawsuit,https://www.independent.co.uk/news/world/americas/tesla-self-driving-family-killed-lawsuit-b2893264.html,,English,Tesla,TSLA,negative,0.9
20260102T013000Z,Elon Musk Donates $100M Tesla Shares to Charities as Tax Strategy,https://www.webpronews.com/elon-musk-donates-100m-tesla-shares-to-charities-as-tax-strategy/,,English,Tesla,TSLA,unknown,0.9
20260102T013000Z,"2025 Top Electric Vehicles : Resilience , Innovation , and Future Growth",https://www.webpronews.com/2025s-top-electric-vehicles-resilience-innovation-and-future-growth/,,English,Tesla,TSLA,unknown,0.9
20260102T003000Z,"Silver bull market : done , delayed , or detonating ? ",https://www.zerohedge.com/news/2025-12-30/silvers-bull-market-done-delayed-or-detonating,,English,Tesla,TSLA,unknown,0.9
20260101T234500Z,Weekend Drive by Hormazd Sorabjee : Taking the Tesla for a spin,https://www.hindustantimes.com/lifestyle/brunch/weekend-drive-by-hormazd-sorabjee-taking-the-tesla-for-a-spin-101767307699813.html,,English,Tesla,TSLA,unknown,0.9
20260101T233000Z,  Obscene greed ! Fury as 8 billionaires pocket 25 % of global wealth gains in one year,https://www.rawstory.com/richest-people/,,English,Tesla,TSLA,unknown,0.9
20260101T224500Z,2025 : The Year Big Oil Investment In Trump Paid Off,https://www.wonkette.com/p/2025-the-year-big-oils-investment,,English,Tesla,TSLA,unknown,0.9
