published_utc,title,url,source,lang,company,ticker,event_type,confidence
20260408T010000Z,"Anthropic claims its new AI model , Mythos , is a cybersecurity  reckoning  ",https://www.bostonglobe.com/2026/04/07/business/anthropic-claims-its-new-ai-model-mythos-is-cybersecurity-reckoning/,,English,Apple Inc,AAPL,unknown,0.9
20260407T214500Z,"Canadian Reviewer - Reviews , News and Opinion with a Canadian Perspective",https://www.canadianreviewer.com/cr/?currentPage=4883,,English,Apple Inc,AAPL,unknown,0.9
20260407T203000Z,AI stock Xiao - I Corporation ( Nasdaq : AIXI ) Makes Big Gains on Patent War With Apple,https://www.investorideas.com/news/2026/technology/04071-aixi-stock-surges-patent-ruling.asp,,English,Apple Inc,AAPL,unknown,0.9
20260406T193000Z,Women in Crypto 2026 : Top 10 Most Influential Figures,https://www.directionsmag.com/crypto/women-in-crypto,,English,Apple Inc,AAPL,unknown,0.9
20260406T110000Z,Xiao - I provides update on Apple patent lawsuit,https://vir.com.vn/xiao-i-provides-update-on-apple-patent-lawsuit-149678.html,,English,Apple Inc,AAPL,negative,0.9
20260403T083000Z,Big Rig ROCK Report 4 . 2 | 98ROCK,https://98rockme.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T083000Z,Big Rig ROCK Report 4 . 2 | Z - 98,https://z98rocks.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T083000Z,Big Rig ROCK Report 4 . 2 | 98 . 9 KKZX,https://989kkzx.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T080000Z,Big Rig ROCK Report 4 . 2 | Rock 101,https://rock101fm.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T080000Z,Big Rig ROCK Report 4 . 2 | 107 . 9 KBPI,https://kbpi.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T080000Z,Big Rig ROCK Report 4 . 2 | Z92 . 1,https://kzrx921.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T074500Z,Big Rig ROCK Report 4 . 2 | 106 . 3 The Brew,https://1063thebrew.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T070000Z,Big Rig ROCK Report 4 . 2 | ROCK 94 . 5,https://945rocks.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T070000Z,Big Rig ROCK Report 4 . 2 | Rock 101 . 7 WMRR,https://rock1017fm.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T070000Z,Big Rig ROCK Report 4 . 2 | BIG 100,https://wbig.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T070000Z,Big Rig ROCK Report 4 . 2 | 100 . 3 The Edge,https://edgelittlerock.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T061500Z,Big Rig ROCK Report 4 . 2 | 102 . 5 The Bear,https://1025thebear.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T060000Z,Big Rig ROCK Report 4 . 2 | BIG 105 . 9,https://big1059.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T051500Z,Big Rig ROCK Report 4 . 2 | 1059 The Rock,https://1059therock.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T051500Z,Big Rig ROCK Report 4 . 2 | 96 . 3 ROV,https://rovrocks.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
20260403T050000Z,Big Rig ROCK Report 4 . 2 | 98 . 7 The Gator,https://gatorrocks.iheart.com/featured/big-rig/content/2026-04-02-big-rig-rock-report-42/,,English,Apple Inc,AAPL,unknown,0.9
