published_utc,title,url,source,lang,company,ticker,event_type,confidence
20260501T220000Z,"Stocks See Support from Lower Crude Prices , While Mega - Cap Tech Earnings are Mixed",https://finance.yahoo.com/markets/stocks/articles/stocks-see-support-lower-crude-140755095.html,,English,Apple Inc,AAPL,unknown,0.9
20260430T231500Z,Apple AAPL Q2 2026 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2026/04/30/apple-aapl-q2-2026-earnings-call-transcript/?source=iedfolrf0000001,,English,Apple Inc,AAPL,unknown,0.9
20260430T220000Z,"S & P 500 extends gains , rises to a fresh record . More earnings to come",https://investinglive.com:443/stock-market-update/sp-500-extends-gains-rises-to-a-fresh-record-more-earnings-to-come-20260430/,,English,Apple Inc,AAPL,unknown,0.9
20260429T210000Z,"Canadian Reviewer - Reviews , News and Opinion with a Canadian Perspective",https://www.canadianreviewer.com/cr/?currentPage=4888,,English,Apple Inc,AAPL,unknown,0.9
20260429T074500Z,Apple rolls out new subscription model,https://arynews.tv/apple-rolls-out-new-subscription-model,,English,Apple Inc,AAPL,unknown,0.9
20260428T121500Z,Baystreet . ca - Clear Street Initiates Buy Rating on REalloys as Rare Earth Crunch Intensifies,http://baystreet.ca/commodities/8678/Clear-Street-Initiates-Buy-Rating-on-REalloys-as-Rare-Earth-Crunch-Intensifies,,English,Apple Inc,AAPL,unknown,0.9
20260428T110000Z,SunHydrogen Opens European Headquarters as Global Hydrogen Demand Accelerates,https://www.manilatimes.net/2026/04/28/tmt-newswire/globenewswire/sunhydrogen-opens-european-headquarters-as-global-hydrogen-demand-accelerates/2330173,,English,Apple Inc,AAPL,unknown,0.9
20260427T191500Z,"Market Factors : Sell oil , buy tech ? ",https://www.theglobeandmail.com/investing/investment-ideas/article-market-factors-sell-oil-buy-tech/,,English,Apple Inc,AAPL,unknown,0.9
20260425T143000Z,Only One Side Will Be The True Successor to MS - DOS ! – Windows 2 . x – GUI Wonderland # 12a,https://blisscast.wordpress.com/2026/04/21/windows-2-gui-wonderland-12a/,,English,Apple Inc,AAPL,positive,0.9
20260430T033000Z,"Power Banks Market Trending Business Insights with Positive Long - Term Growth Outlook | Sony Corporation , Panasonic Corporation",https://eturbonews.com/power-banks-market-trending-business-insights-with-positive-long-term-growth-outlook-sony-corporation-panasonic-corporation/,,English,Microsoft Corporation,MSFT,unknown,0.9
20260429T151500Z,"Starwood Hotels & Resorts debuts Element brand in Fargo , North Dakota",https://eturbonews.com/starwood-hotels-resorts-debuts-element-brand-fargo-north-dakota/,,English,Microsoft Corporation,MSFT,unknown,0.9
20260427T051500Z,Microsoft ( MSFT ) Announces A$25B Investment in Australia AI and Cloud Infrastructure,https://www.insidermonkey.com/blog/microsoft-msft-announces-a25b-investment-in-australias-ai-and-cloud-infrastructure-1747262/,,English,Microsoft Corporation,MSFT,unknown,0.9
20260501T044500Z,CityWatch LA - How Disastrous Are Ai And Ai - Driven Data Centers ? ,https://www.citywatchla.com/voices/32629-how-disastrous-are-ai-and-ai-driven-data-centers,,English,Amazon,AMZN,unknown,0.9
20260430T110000Z,Focus on horrors of war and corporate neglect win top prizes at Fetisov Journalism Awards,https://typos.com.cy/english/focus-on-horrors-of-war-and-corporate-neglect-win-top-prizes-at-fetisov-journalism-awards/,,English,Amazon,AMZN,unknown,0.9
20260502T071500Z,"This Week Market Wrap : Earnings Fireworks , Oil Shocks , and a Stubborn Economy",https://www.financialsense.com/blog/21638/weeks-market-wrap-earnings-fireworks-oil-shocks-and-stubborn-economy,,English,Alphabet,GOOGL,unknown,0.9
20260502T050000Z,"TechKnow : Tech giants ramp up AI spending , but returns remain uncertain : Jefferies",https://bangaloremirror.indiatimes.com/bangalore/others/techknow-tech-giants-ramp-up-ai-spending-but-returns-remain-uncertain-jefferies/articleshow/130708644.cms,,English,Alphabet,GOOGL,unknown,0.9
20260502T000000Z,Robotaxis can break traffic laws without fines under new California rules,https://www.mercurynews.com/2026/05/01/robotaxis-can-break-traffic-laws-without-fines-under-new-california-rules/,,English,Alphabet,GOOGL,unknown,0.9
20260502T000000Z,Robotaxis can break traffic laws without fines under new California rules,https://www.eastbaytimes.com/2026/05/01/robotaxis-can-break-traffic-laws-without-fines-under-new-california-rules/,,English,Alphabet,GOOGL,unknown,0.9
20260501T231500Z,See which companies made Time 2026 most influential list and why,https://finance.yahoo.com/markets/stocks/articles/see-companies-made-time-2026-200953541.html,,English,Alphabet,GOOGL,unknown,0.9
20260501T224500Z,These are the companies offering top - tier offices to the booming AI sector,https://www.dailymail.com/money/investing/article-15783303/These-companies-offering-tier-offices-booming-AI-sector.html,,English,Alphabet,GOOGL,unknown,0.9
20260501T221500Z,"People and Events | News , Sports , Jobs - Fairmont Sentinel",https://www.fairmontsentinel.com/life/people-events/2026/05/01/people-and-events-1587/,,English,Alphabet,GOOGL,unknown,0.9
20260501T203000Z,Tech titans fuel bubble fears with $725bn budget for AI,https://www.thetimes.com/business/companies-markets/article/big-four-tech-giants-fuel-bubble-fears-725bn-budget-ai-9qtv3dl72,,English,Alphabet,GOOGL,unknown,0.9
20260501T091500Z,"Tech giants ramp up AI spending , but returns remain uncertain : Jefferies",https://aninews.in/news/business/tech-giants-ramp-up-ai-spending-but-returns-remain-uncertain-jefferies20260501141624/,,English,Alphabet,GOOGL,unknown,0.9
20260501T084500Z,Dollar Selloff Accelerates as Risk Rally and Yen Surge Take Hold,https://www.actionforex.com/action-insight/market-overview/639012-dollar-selloff-accelerates-as-risk-rally-and-yen-surge-take-hold/,,English,Alphabet,GOOGL,unknown,0.9
20260501T070000Z,How a speculative story about dead and missing scientists went from the fringe to the White House,https://keyt.com/news/national-world/cnn-national/2026/04/30/how-a-speculative-story-about-dead-and-missing-scientists-went-from-the-fringe-to-the-white-house/,,English,Alphabet,GOOGL,unknown,0.9
20260501T030000Z,"The Overnight Report : April Gone , Hello May",https://fnarena.com/index.php/2026/05/01/the-overnight-report-aprils-gone-hello-may/,,English,Alphabet,GOOGL,unknown,0.9
