published_utc,title,url,source,lang,company,ticker,event_type,confidence
20260716T054500Z,Securities Lawsuit Alert : Microsoft Corporation ( MSFT ) Investors - ... ,https://www.pr-inside.com/securities-lawsuit-alert-microsoft-corporation-msft-investors-r5201579.htm,,English,Microsoft Corporation,MSFT,negative,0.9
20260716T054500Z,Class Action Lawsuit Filed Against Microsoft Corporation ( MSFT ) – Recover ... ,https://www.pr-inside.com/class-action-lawsuit-filed-against-microsoft-corporation-msft-recover-r5201593.htm,,English,Microsoft Corporation,MSFT,negative,0.9
20260716T044500Z,"2026 - 07 - 15 | Class Action Lawsuit Filed Against Microsoft Corporation ( MSFT ) - Recover Losses - Contact Levi & Korsinsky Before August 11 , 2026 | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/15/class-action-lawsuit-filed-against-microsoft-corporation-msft-recover-losses,,English,Microsoft Corporation,MSFT,negative,0.9
20260716T044500Z,"2026 - 07 - 15 | Securities Lawsuit Alert : Microsoft Corporation ( MSFT ) Investors - Contact Levi & Korsinsky Before August 11 , 2026 | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/15/securities-lawsuit-alert-microsoft-corporation-msft-investors-contact-levi,,English,Microsoft Corporation,MSFT,negative,0.9
20260716T020000Z,"ROSEN , TRUSTED INVESTOR COUNSEL , Encourages Microsoft Investors to ... ",https://www.pr-inside.com/rosen-trusted-investor-counsel-encourages-microsoft-investors-to-r5201559.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
20260715T223000Z,MSFT Investors Have Opportunity to Lead Microsoft Corporation Securities Fraud Lawsuit,https://www.prnewswire.com/news-releases/msft-investors-have-opportunity-to-lead-microsoft-corporation-securities-fraud-lawsuit-302826813.html,,English,Microsoft Corporation,MSFT,negative,0.9
20260715T214500Z,Securities Class Action Lawsuit Filed Against Microsoft Corporation ... ,https://www.pr-inside.com/securities-class-action-lawsuit-filed-against-microsoft-corporation-r5201473.htm,,English,Microsoft Corporation,MSFT,negative,0.9
20260715T171500Z,"2026 - 07 - 15 | MSFT ALERT : Securities Fraud Class Action Launched Against Microsoft Corporation - August 11 , 2026 Deadline | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/15/msft-alert-securities-fraud-class-action-launched-against-microsoft-corporation,,English,Microsoft Corporation,MSFT,unknown,0.9
20260714T190000Z,Levi & Korsinsky Urges Microsoft Corporation ( MSFT ) Shareholders to ... ,https://www.pr-inside.com/levi-korsinsky-urges-microsoft-corporation-msft-shareholders-to-r5201012.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
20260714T163000Z,Microsoft Corporation ( MSFT ) Shareholders Who Lost Money Have Opportunity to Lead Securities Fraud Lawsuit,https://www.prnewswire.com/news-releases/microsoft-corporation-msft-shareholders-who-lost-money-have-opportunity-to-lead-securities-fraud-lawsuit-302825361.html,,English,Microsoft Corporation,MSFT,negative,0.9
20260714T083000Z,"Bellevue Asset Management LLC Sells 4 , 944 Shares of Microsoft Corporation $MSFT",https://www.themarketsdaily.com/2026/07/14/bellevue-asset-management-llc-sells-4944-shares-of-microsoft-corporation-msft.html,,English,Microsoft Corporation,MSFT,unknown,0.9
20260714T044500Z,"Data Center Robotics Market to Reach USD 113 , 432 . 96 Million by 2035 Amid Hyperscale Expansion and AI - Driven Operations",https://www.finanznachrichten.de/nachrichten-2026-07/69015979-data-center-robotics-market-to-reach-usd-113-432-96-million-by-2035-amid-hyperscale-expansion-and-ai-driven-operations-dc-market-insights-008.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
20260713T214500Z,"2026 - 07 - 13 | ROSEN , A LONGSTANDING LAW FIRM , Encourages Microsoft Investors to Secure Counsel Before Important Deadline in Securities Class Action - MSFT | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/13/rosen-a-longstanding-law-firm-encourages-microsoft-investors-to-secure-counsel,,English,Microsoft Corporation,MSFT,unknown,0.9
20260713T210000Z,$MSFT Shareholder Alert : Microsoft 10 % Stock Drop Leads to Securities ... ,https://www.pr-inside.com/msft-shareholder-alert-microsoft-10-stock-drop-leads-to-securities-r5200665.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
20260713T180000Z,"2026 - 07 - 13 | Lost Money on Microsoft Corporation ( MSFT )? Urged to Join Class Action Before August 11 , 2026 - Contact Levi & Korsinsky | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/13/lost-money-on-microsoft-corporation-msft-urged-to-join-class-action-before,,English,Microsoft Corporation,MSFT,unknown,0.9
20260713T180000Z,2026 - 07 - 13 | Deadline Alert : Microsoft Corporation ( MSFT ) Shareholders Who Lost Money Urged To Contact Glancy Prongay Wolke & Rotter LLP About Securities Fraud Lawsuit | TSX : MSFT,https://stockhouse.com/news/press-releases/2026/07/13/deadline-alert-microsoft-corporation-msft-shareholders-who-lost-money-urged-to,,English,Microsoft Corporation,MSFT,negative,0.9
20260713T051500Z,"2026 - 07 - 13 | Class Action Lawsuit Filed Against Microsoft Corporation ( MSFT ) - Recover Losses - Contact Levi & Korsinsky Before August 11 , 2026 | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/07/13/class-action-lawsuit-filed-against-microsoft-corporation-msft-recover-losses,,English,Microsoft Corporation,MSFT,negative,0.9
20260712T201500Z,Wealth Care LLC Acquires New Shares in Microsoft Corporation $MSFT,https://www.themarketsdaily.com/2026/07/12/wealth-care-llc-acquires-new-shares-in-microsoft-corporation-msft.html,,English,Microsoft Corporation,MSFT,unknown,0.9
20260712T191500Z,2026 - 07 - 12 | Pomerantz LLP Issues Important Reminder to Shareholders in Microsoft Corporation of Class Action Lawsuit - MSFT | TSX : MSFT,https://stockhouse.com/news/press-releases/2026/07/12/pomerantz-llp-issues-important-reminder-to-shareholders-in-microsoft-corporation,,English,Microsoft Corporation,MSFT,negative,0.9
