published_utc,title,url,source,lang,company,ticker,event_type,confidence
20260904T130000Z,Apple Inc . $AAPL Position Lessened by Resona Asset Management Co . Ltd . ,https://www.dailypolitical.com/2026/09/04/apple-inc-aapl-position-lessened-by-resona-asset-management-co-ltd.html,,English,Apple Inc,AAPL,unknown,0.9
20260904T044500Z,Apple Considers $14 Billion Acquisition of Perplexity AI to Strengthen AI Efforts,https://www.chiangraitimes.com/tech/apple-considers-perplexity/,,English,Apple Inc,AAPL,unknown,0.9
20260903T043000Z,"Canadian Reviewer - Reviews , News and Opinion with a Canadian Perspective",https://www.canadianreviewer.com/cr/?currentPage=4913,,English,Apple Inc,AAPL,unknown,0.9
20260902T053000Z,Apple to Pay Virginia Employee $150K in Religious Accommodation Settlement,https://www.insurancejournal.com/news/east/2026/09/02/883537.htm,,English,Apple Inc,AAPL,unknown,0.9
20260902T040000Z,"Canadian Reviewer - Reviews , News and Opinion with a Canadian Perspective",https://www.canadianreviewer.com/cr/?currentPage=4912,,English,Apple Inc,AAPL,unknown,0.9
20260901T163000Z,Apple Accuses OpenAI of Destroying Evidence in Exchange of Barbs,https://www.claimsjournal.com/news/national/2026/09/01/339901.htm,,English,Apple Inc,AAPL,unknown,0.9
20260901T010000Z,Apple Says OpenAI Is Destroying Evidence in Trade Secrets Case,https://finance.yahoo.com/technology/ai/articles/apple-says-openai-destroying-evidence-210352338.html,,English,Apple Inc,AAPL,unknown,0.9
20260831T220000Z,"Apple ( NASDAQ : AAPL ) Shares Slide As Tim Cook Hands Leadership To John Ternus , While Nvidia ( NASDAQ : NVDA ) Surges On $3 . 5 Billion MediaTek Deal",https://www.foreignpolicyjournal.com/2026/08/31/apple-nasdaq-aapl-shares-slide-as-tim-cook-hands-leadership-to-john-ternus-while-nvidia-nasdaq-nvda-surges-on-3-5-billion-mediatek-deal/,,English,Apple Inc,AAPL,unknown,0.9
20260904T214500Z,"IP News : Other Barks & Bites for Friday , September 4",https://ipwatchdog.com/2026/09/04/other-barks-bites-september-4-2026/,,English,Microsoft Corporation,MSFT,unknown,0.9
20260907T124500Z,Tesla Wants to Be Seen as an AI Company,https://finance.yahoo.com/technology/ai/articles/tesla-wants-seen-ai-company-112918322.html,,English,Tesla,TSLA,unknown,0.9
20260907T124500Z,Tesla Wants to Be Seen as an AI Company,https://www.aol.com/articles/tesla-wants-seen-ai-company-112918000.html,,English,Tesla,TSLA,unknown,0.9
20260907T101500Z,Gerringong suburb sets new $5 . 5M price record for luxury home | Narromine News,https://www.narrominenewsonline.com.au/story/9344949/gerringong-suburb-sets-new-55m-price-record-for-luxury-home/,,English,Tesla,TSLA,unknown,0.9
20260907T101500Z,Gerringong suburb sets new $5 . 5M price record for luxury home | Crookwell Gazette,https://www.crookwellgazette.com.au/story/9344949/gerringong-suburb-sets-new-55m-price-record-for-luxury-home/,,English,Tesla,TSLA,unknown,0.9
20260907T101500Z,Gerringong suburb sets new $5 . 5M price record for luxury home | The Queanbeyan Age,https://www.queanbeyanage.com.au/story/9344949/gerringong-suburb-sets-new-55m-price-record-for-luxury-home/,,English,Tesla,TSLA,unknown,0.9
20260907T101500Z,Gerringong suburb sets new $5 . 5M price record for luxury home,https://www.batemansbaypost.com.au/story/9344949/gerringong-suburb-sets-new-55m-price-record-for-luxury-home/,,English,Tesla,TSLA,unknown,0.9
