published_utc,title,url,source,lang,company,ticker,event_type,confidence
20260621T100000Z,"Canadian Reviewer - Reviews , News and Opinion with a Canadian Perspective",https://www.canadianreviewer.com/cr/?currentPage=4900,,English,Apple Inc,AAPL,unknown,0.9
20260619T190000Z,US claims China has ASML tool - Taipei Times,https://www.taipeitimes.com/News/biz/archives/2026/06/20/2003859397,,English,Apple Inc,AAPL,unknown,0.9
20260619T024500Z,US tells ASML it concerned China may have top chip tool,https://www.moneycontrol.com/news/business/us-tells-asml-it-s-concerned-china-may-have-top-chip-tool-13953534.html,,English,Apple Inc,AAPL,unknown,0.9
20260617T170000Z,"Apple investors are tired of AI promises , want tangible progress",https://www.eastbaytimes.com/2026/06/17/apple-investors-tired-ai-promises/,,English,Apple Inc,AAPL,unknown,0.9
20260622T130000Z,MSFT Alert : Microsoft Investors may have been Misled about the Company Copilot Issues – Contact BFA Law about the Pending Securities Fraud Class Action,https://portal.sina.com.hk/finance/finance-globenewswire/globenewswire/2026/06/22/1830324/msft-alert-microsoft-investors-may-have-been-misled-about-the-companys-copilot-issues-contact-bfa-law-about-the-pending-securities-fraud-class-action/,,English,Microsoft Corporation,MSFT,unknown,0.9
20260622T063000Z,"2026 - 06 - 21 | ROSEN , GLOBAL INVESTOR COUNSEL , Encourages Microsoft Investors to Secure Counsel Before Important Deadline in Securities Class - MSFT | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/06/21/rosen-global-investor-counsel-encourages-microsoft-investors-to-secure-counsel,,English,Microsoft Corporation,MSFT,unknown,0.9
20260622T030000Z,"ROSEN , NATIONAL TRIAL LAWYERS , Encourages Microsoft Investors to Secure ... ",https://www.pr-inside.com/rosen-national-trial-lawyers-encourages-microsoft-investors-to-secure-r5193245.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
20260622T030000Z,Microsoft Corporation ( MSFT ) Class Action Lawsuit : Levi & Korsinsky ... ,https://www.pr-inside.com/microsoft-corporation-msft-class-action-lawsuit-levi-korsinsky-r5193248.htm,,English,Microsoft Corporation,MSFT,negative,0.9
20260621T171500Z,Securities Lawsuit Alert : Microsoft Corporation ( MSFT ) Investors – ... ,https://www.pr-inside.com/securities-lawsuit-alert-microsoft-corporation-msft-investors-r5193164.htm,,English,Microsoft Corporation,MSFT,negative,0.9
20260621T161500Z,"2026 - 06 - 21 | Join Class Action to Recover Losses from Microsoft Corporation ( MSFT ) - Contact Levi & Korsinsky Before August 11 , 2026 | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/06/21/join-class-action-to-recover-losses-from-microsoft-corporation-msft-contact-levi,,English,Microsoft Corporation,MSFT,unknown,0.9
20260621T111500Z,2026 - 06 - 21 | Microsoft Stock Reminder : Microsoft ( $MSFT ) Investors that Lost Money when Stock Dropped 10 % are Notified of the Upcoming August 11 Securities Class Action Deadline | TSX : MSFT,https://stockhouse.com/news/press-releases/2026/06/21/microsoft-stock-reminder-microsoft-msft-investors-that-lost-money-when-stock,,English,Microsoft Corporation,MSFT,unknown,0.9
20260621T020000Z,"2026 - 06 - 20 | Class Action Lawsuit Filed : Microsoft Corporation ( MSFT ) - Join by August 11 , 2026 - Contact Levi & Korsinsky | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/06/20/class-action-lawsuit-filed-microsoft-corporation-msft-join-by-august-11-2026,,English,Microsoft Corporation,MSFT,negative,0.9
20260620T041500Z,"2026 - 06 - 19 | ROSEN , A LONGSTANDING FIRM , Encourages Microsoft Investors to Secure Counsel Before Important Deadline in Securities Class - MSFT | TSX : MSFT",https://stockhouse.com/news/press-releases/2026/06/19/rosen-a-longstanding-firm-encourages-microsoft-investors-to-secure-counsel,,English,Microsoft Corporation,MSFT,unknown,0.9
20260620T040000Z,"ROSEN , A TOP - RANKED LAW FIRM , Encourages Microsoft Investors to Secure ... ",https://www.pr-inside.com/rosen-a-top-ranked-law-firm-encourages-microsoft-investors-to-secure-r5192866.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
20260620T030000Z,"Activision Blizzard , Inc . Notice of June 30 , 2026 Application Deadline for Class Action Lawsuit - Contact Lewis Kahn , Esq . at Kahn Swick & Foti , LLC , Before Application Deadline",http://www.prnewswire.com/news-releases/activision-blizzard-inc-notice-of-june-30-2026-application-deadline-for-class-action-lawsuit---contact-lewis-kahn-esq-at-kahn-swick--foti-llc-before-application-deadline-302805612.html,,English,Microsoft Corporation,MSFT,negative,0.9
20260620T014500Z,Class Action Lawsuit Filed : Microsoft Corporation ( MSFT ) – Join by ... ,https://www.pr-inside.com/class-action-lawsuit-filed-microsoft-corporation-msft-join-by-r5192853.htm,,English,Microsoft Corporation,MSFT,negative,0.9
20260619T193000Z,Levi & Korsinsky Urges Microsoft Corporation ( MSFT ) Shareholders to ... ,https://www.pr-inside.com/levi-korsinsky-urges-microsoft-corporation-msft-shareholders-to-r5192749.htm,,English,Microsoft Corporation,MSFT,unknown,0.9
