Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2023-10-06,175.76837158203125,127.95999908447266,136.63760375976562,322.4014587402344,260.5299987792969
2023-10-09,177.25379943847656,128.25999450683594,137.4718475341797,324.92340087890625,259.6700134277344
2023-10-10,176.6596221923828,129.47999572753906,137.11431884765625,323.5146789550781,263.6199951171875
2023-10-11,178.05593872070312,131.8300018310547,139.58724975585938,327.48486328125,262.989990234375
2023-10-12,178.95713806152344,132.3300018310547,138.01806640625,326.2435607910156,258.8699951171875
2023-10-13,177.1151885986328,129.7899932861328,136.41909790039062,322.864501953125,251.1199951171875
2023-10-16,176.98643493652344,132.5500030517578,138.14718627929688,327.70159912109375,253.9199981689453
2023-10-17,175.43165588378906,131.47000122070312,138.762939453125,327.13018798828125,254.85000610351562
2023-10-18,174.1343536376953,128.1300048828125,137.01499938964844,325.2091369628906,242.67999267578125
2023-10-19,173.758056640625,128.39999389648438,136.8064422607422,326.4011535644531,220.11000061035156
2023-10-20,171.2030792236328,125.16999816894531,134.67115783691406,321.8201904296875,211.99000549316406
2023-10-23,171.32192993164062,126.55999755859375,135.56497192382812,324.4308776855469,212.0800018310547
2023-10-24,171.7576446533203,128.55999755859375,137.85916137695312,325.6228332519531,216.52000427246094
2023-10-25,169.4403533935547,121.38999938964844,124.74958801269531,335.61236572265625,212.4199981689453
2023-10-26,165.27117919921875,119.56999969482422,121.44239807128906,323.0220947265625,205.75999450683594
2023-10-27,166.58828735351562,127.73999786376953,121.3331527709961,324.91357421875,207.3000030517578
2023-10-30,168.63816833496094,132.7100067138672,123.60747528076172,332.30224609375,197.36000061035156
2023-10-31,169.11355590820312,133.08999633789062,123.23007202148438,333.09033203125,200.83999633789062
2023-11-01,172.2825164794922,137.0,125.5838394165039,340.9322204589844,205.66000366210938
2023-11-02,175.8475799560547,138.07000732421875,126.61671447753906,343.14874267578125,218.50999450683594
2023-11-03,174.93650817871094,138.60000610351562,128.2156982421875,347.5622253417969,219.9600067138672
2023-11-06,177.49148559570312,139.74000549316406,129.3577880859375,351.2368469238281,219.27000427246094
2023-11-07,180.05636596679688,142.7100067138672,130.0728759765625,355.1774597167969,222.17999267578125
2023-11-08,181.115966796875,142.0800018310547,130.93692016601562,357.8078918457031,222.11000061035156
2023-11-09,180.640625,140.60000610351562,129.34788513183594,355.3351745605469,209.97999572753906
2023-11-10,184.83511352539062,143.55999755859375,131.68179321289062,364.18182373046875,214.64999389648438
2023-11-13,183.24855041503906,142.58999633789062,131.18519592285156,361.2361755371094,223.7100067138672
2023-11-14,185.86639404296875,145.8000030517578,132.7047119140625,364.77288818359375,237.41000366210938
2023-11-15,186.4315948486328,143.1999969482422,133.69784545898438,364.92095947265625,242.83999633789062
2023-11-16,188.11734008789062,142.8300018310547,135.9920196533203,371.3374938964844,233.58999633789062
2023-11-17,188.09751892089844,145.17999267578125,134.38314819335938,365.0986633300781,234.3000030517578
2023-11-20,189.84271240234375,146.1300048828125,135.31671142578125,372.59112548828125,235.60000610351562
2023-11-21,189.03953552246094,143.89999389648438,136.03176879882812,368.27734375,241.1999969482422
2023-11-22,189.70387268066406,146.7100067138672,137.54136657714844,372.995849609375,234.2100067138672
2023-11-24,188.37515258789062,146.74000549316406,135.75367736816406,372.5812683105469,235.4499969482422
2023-11-27,188.19664001464844,147.72999572753906,135.47560119628906,373.7461242675781,236.0800018310547
2023-11-28,188.80152893066406,147.02999877929688,136.26019287109375,377.7835998535156,246.72000122070312
2023-11-29,187.78018188476562,146.32000732421875,134.06533813476562,373.9830322265625,244.13999938964844
2023-11-30,188.35533142089844,146.08999633789062,131.6221923828125,374.042236328125,240.0800018310547
2023-12-01,189.63450622558594,147.02999877929688,130.95677185058594,369.6988220214844,238.8300018310547
2023-12-04,187.8396759033203,144.83999633789062,128.38453674316406,364.39776611328125,235.5800018310547
2023-12-05,191.7961883544922,146.8800048828125,130.09274291992188,367.7343444824219,238.72000122070312
2023-12-06,190.7054443359375,144.52000427246094,129.12939453125,364.0621643066406,239.3699951171875
2023-12-07,192.63905334472656,146.8800048828125,135.9920196533203,366.1845703125,242.63999938964844
2023-12-08,194.0669708251953,147.4199981689453,134.06533813476562,369.42236328125,243.83999633789062
2023-12-11,191.5581817626953,145.88999938964844,132.37696838378906,366.530029296875,239.74000549316406
2023-12-12,193.0753631591797,147.47999572753906,131.6122589111328,369.5704040527344,237.00999450683594
2023-12-13,196.29808044433594,148.83999633789062,131.6619110107422,369.56060791015625,239.2899932861328
2023-12-14,196.4468231201172,147.4199981689453,131.03622436523438,361.22900390625,251.0500030517578
2023-12-15,195.91134643554688,149.97000122070312,131.6917266845703,365.9674072265625,253.5
2023-12-18,194.24546813964844,154.07000732421875,134.86978149414062,367.8626708984375,252.0800018310547
2023-12-19,195.28665161132812,153.7899932861328,135.71392822265625,368.4648132324219,257.2200012207031
2023-12-20,193.19435119628906,152.1199951171875,137.39239501953125,365.8587341308594,247.13999938964844
2023-12-21,193.04559326171875,153.83999633789062,139.45816040039062,368.74127197265625,254.5
2023-12-22,191.9746856689453,153.4199981689453,140.5208282470703,369.76788330078125,252.5399932861328
2023-12-26,191.42930603027344,153.41000366210938,140.55059814453125,369.84686279296875,256.6099853515625
2023-12-27,191.5284423828125,153.33999633789062,139.40847778320312,369.2644348144531,261.44000244140625
2023-12-28,191.95484924316406,153.3800048828125,139.26943969726562,370.4588928222656,253.17999267578125
2023-12-29,190.9136505126953,151.94000244140625,138.73313903808594,371.2091369628906,248.47999572753906
