Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2023-11-03,174.76707458496094,138.60000610351562,128.21571350097656,346.9129333496094,219.9600067138672
2023-11-06,177.31959533691406,139.74000549316406,129.35780334472656,350.5807189941406,219.2700042724609
2023-11-07,179.88198852539062,142.7100067138672,130.0728759765625,354.5139465332031,222.17999267578125
2023-11-08,180.9405670166016,142.0800018310547,130.9368896484375,357.13946533203125,222.1100006103516
2023-11-09,180.4656982421875,140.60000610351562,129.34788513183594,354.6713256835937,209.97999572753903
2023-11-10,184.65611267089844,143.55999755859375,131.6817626953125,363.5015258789063,214.6499938964844
2023-11-13,183.07110595703125,142.58999633789062,131.18521118164062,360.5613708496094,223.7100067138672
2023-11-14,185.68638610839844,145.8000030517578,132.7047119140625,364.0914306640625,237.41000366210935
2023-11-15,186.2510528564453,143.1999969482422,133.69786071777344,364.2392883300781,242.83999633789065
2023-11-16,187.93516540527344,142.8300018310547,135.99205017089844,370.6437377929688,233.58999633789065
2023-11-17,187.91534423828125,145.17999267578125,134.3831329345703,364.4166259765625,234.3000030517578
2023-11-20,189.65887451171875,146.1300048828125,135.3167266845703,371.8950500488281,235.6000061035156
2023-11-21,188.85646057128903,143.89999389648438,136.0317840576172,367.5893249511719,241.1999969482422
2023-11-22,189.5201568603516,146.7100067138672,137.54136657714844,372.299072265625,234.2100067138672
2023-11-24,188.19273376464844,146.74000549316406,135.7537078857422,371.88525390625,235.4499969482422
2023-11-27,188.01438903808597,147.72999572753906,135.4756317138672,373.04791259765625,236.0800018310547
2023-11-28,188.6186981201172,147.02999877929688,136.26019287109375,377.0778503417969,246.72000122070312
2023-11-29,187.59832763671875,146.32000732421875,134.06533813476562,373.2843933105469,244.13999938964844
2023-11-30,188.1728973388672,146.08999633789062,131.6221923828125,373.343505859375,240.0800018310547
2023-12-01,189.4508514404297,147.02999877929688,130.95680236816406,369.0081481933594,238.8300018310547
2023-12-04,187.65774536132807,144.83999633789062,128.38453674316406,363.717041015625,235.5800018310547
2023-12-05,191.6104278564453,146.8800048828125,130.09274291992188,367.04730224609375,238.72000122070312
2023-12-06,190.52073669433597,144.52000427246094,129.12939453125,363.3820190429688,239.3699951171875
2023-12-07,192.45249938964844,146.8800048828125,135.99205017089844,365.50042724609375,242.63999938964844
2023-12-08,193.87901306152344,147.4199981689453,134.06533813476562,368.7322998046875,243.83999633789065
2023-12-11,191.3726806640625,145.88999938964844,132.37698364257812,365.8452758789063,239.7400054931641
2023-12-12,192.8883819580078,147.47999572753906,131.61227416992188,368.8800354003906,237.00999450683597
2023-12-13,196.1080017089844,148.83999633789062,131.66192626953125,368.87017822265625,239.2899932861328
2023-12-14,196.25656127929688,147.4199981689453,131.03623962402344,360.55419921875,251.0500030517578
2023-12-15,195.7216339111328,149.97000122070312,131.69171142578125,365.2837219238281,253.5
2023-12-18,194.05735778808597,154.07000732421875,134.86978149414062,367.1754760742188,252.0800018310547
2023-12-19,195.09750366210935,153.7899932861328,135.71395874023438,367.7765197753906,257.2200012207031
2023-12-20,193.00726318359372,152.1199951171875,137.39239501953125,365.17529296875,247.13999938964844
2023-12-21,192.8586578369141,153.83999633789062,139.45814514160156,368.0524291992188,254.5
2023-12-22,191.7887420654297,153.4199981689453,140.5207977294922,369.07708740234375,252.5399932861328
2023-12-26,191.24392700195312,153.41000366210938,140.55062866210938,369.1559448242188,256.6099853515625
2023-12-27,191.34295654296875,153.33999633789062,139.4084930419922,368.5746154785156,261.44000244140625
2023-12-28,191.7689666748047,153.3800048828125,139.2694549560547,369.7668151855469,253.17999267578125
2023-12-29,190.7287750244141,151.94000244140625,138.73313903808594,370.51568603515625,248.47999572753903
2024-01-02,183.9032287597656,149.92999267578125,137.2235565185547,365.421630859375,248.4199981689453
2024-01-03,182.5262451171875,148.47000122070312,137.9684295654297,365.1555786132813,238.4499969482422
2024-01-04,180.2081298828125,144.57000732421875,135.45574951171875,362.53466796875,237.92999267578125
2024-01-05,179.48492431640625,145.24000549316406,134.80029296875,362.347412109375,237.4900054931641
2024-01-08,183.8239898681641,149.10000610351562,137.88897705078125,369.1854553222656,240.4499969482422
2024-01-09,183.4079132080078,151.3699951171875,139.98452758789062,370.2693786621094,234.9600067138672
2024-01-10,184.44810485839844,153.72999572753906,141.30540466308594,377.1468200683594,233.94000244140625
2024-01-11,183.85369873046875,155.17999267578125,141.10678100585938,378.9794921875,227.22000122070312
2024-01-12,184.18060302734372,154.6199951171875,141.67286682128906,382.7630920410156,218.88999938964844
2024-01-16,181.9120330810547,153.16000366210938,141.51397705078125,384.5365905761719,219.91000366210935
2024-01-17,180.9709014892578,151.7100067138672,140.5009765625,383.7483825683594,215.5500030517578
2024-01-18,186.86524963378903,153.5,142.4971923828125,388.083740234375,211.8800048828125
2024-01-19,189.7678375244141,155.33999633789062,145.37734985351562,392.8132019042969,212.19000244140625
2024-01-22,192.07603454589844,154.77999877929688,144.989990234375,390.6849365234375,208.8000030517578
2024-01-23,193.35397338867188,156.02000427246094,146.0327911376953,393.0398254394531,209.13999938964844
2024-01-24,192.68035888671875,156.8699951171875,147.68142700195312,396.6460571289063,207.8300018310547
2024-01-25,192.35340881347656,157.75,150.8297119140625,398.9221496582031,182.6300048828125
2024-01-26,190.6197967529297,159.1199951171875,151.1475372314453,397.9959411621094,183.25
2024-01-29,189.93624877929688,161.25999450683594,152.45846557617188,403.7008666992188,190.92999267578125
2024-01-30,186.2807464599609,159.0,150.42251586914062,402.5874633789063,191.58999633789065
